gene,logfoldchanges
Sox6,29.409863
Creb5,29.151894
Ntm,29.101984
Penk,29.062807
C1ql3,28.892033
Stac2,28.664513
Amigo2,28.617239
Nrp1,28.558369
Col23a1,28.490417
Npy2r,28.129562
