control_gene_expression,experiment_gene_expression,difference
45710.0,20525.0,25185.0
27939.0,9595.0,18344.0
23710.0,6928.0,16782.0
30127.0,15503.0,14624.0
26573.0,15621.0,10952.0
27168.0,17500.0,9668.0
33358.0,25165.0,8193.0
14576.0,6707.0,7869.0
13153.0,5675.0,7478.0
10928.0,3810.0,7118.0
