gene,logfoldchanges
Hoxc4,3.7779047
Trp53i11,3.1395907
Nxph4,2.2309084
Aldoc,2.0604577
Bcan,1.9867387
Cbln4,1.9505414
Aqp4,1.8096588
Ddc,1.6740044
Nr4a2,1.6233056
Grin2c,1.5701388
