control_gene_expression,experiment_gene_expression,difference
915.0,6226.0,5311.0
973.0,6055.0,5082.0
210.0,2910.0,2700.0
431.0,2841.0,2410.0
284.0,2027.0,1743.0
279.0,1974.0,1695.0
169.0,1412.0,1243.0
280.0,1464.0,1184.0
191.0,1187.0,996.0
105.0,945.0,840.0
