,gene,logfoldchanges,pvals,pvals_adj,-log10(pvals_adj)
0,Trp53i11,3.1395907,3.6565705412000014e-118,3.047142117666668e-116,115.5161072899588
3,Hoxc4,3.7779047,7.641991767413688e-40,1.0613877454741235e-38,37.9741259309366
495,Cnr1,-3.0619109,5.433744264283468e-146,5.433744264283467e-144,143.2649008052306
496,Nmbr,-3.0952501,9.850333756998313e-152,1.231291719624789e-149,148.90963904112712
497,Pcdh11x,-3.383733,5.194651484235346e-168,8.657752473725578e-166,165.06259483488134
498,Mrc1,-3.0855525,9.602272015778272e-173,2.400568003944568e-170,169.61968598670813
499,Chrna2,-3.0273235,3.240177976724899e-177,1.6200889883624495e-174,173.7904611298442
