control_gene_expression,experiment_gene_expression,difference
17751.0,37546.0,19795.0
2730.0,10233.0,7503.0
1774.0,6436.0,4662.0
4652.0,8885.0,4233.0
3118.0,6438.0,3320.0
2045.0,5194.0,3149.0
1598.0,4659.0,3061.0
1887.0,4773.0,2886.0
2896.0,5289.0,2393.0
611.0,2533.0,1922.0
