control_gene_expression,experiment_gene_expression,difference
38361.0,102436.0,64075.0
26138.0,61815.0,35677.0
23462.0,55470.0,32008.0
15858.0,41074.0,25216.0
17498.0,40567.0,23069.0
24707.0,47712.0,23005.0
17364.0,37657.0,20293.0
14388.0,33087.0,18699.0
10801.0,26381.0,15580.0
10658.0,24799.0,14141.0
