gene,logfoldchanges
Hoxc4,5.782825
Trp53i11,4.8133545
Nxph4,4.422702
Adgrg6,3.8512745
Fam214a,3.3953648
Col9a2,3.2333488
Enpp6,3.053541
Nnat,3.0413392
Peg10,3.0319688
Aqp4,3.030455
