,control_gene_expression,experiment_gene_expression,difference
Sstr4,43141.0,17364.0,25777.0
Efemp1,35387.0,11330.0,24057.0
Gem,38919.0,19047.0,19872.0
Lama3,17749.0,5993.0,11756.0
Pcdh7,24976.0,15150.0,9826.0
Oprd1,32911.0,23462.0,9449.0
Dscaml1,26684.0,17498.0,9186.0
Bcl11b,17928.0,9415.0,8513.0
Npff,16914.0,8971.0,7943.0
Spon1,13020.0,5150.0,7870.0
