gene,logfoldchanges
Hoxc4,6.523317
Nxph4,5.1389184
Trp53i11,4.4924684
Htr2c,3.7387762
Tpbg,3.564422
Fam214a,3.1852922
Kcnc3,3.1715283
Gabra1,3.1663592
Tenm3,3.165766
Epha10,3.1193256
