control_gene_expression,experiment_gene_expression,difference
4512.0,25669.0,21157.0
3523.0,16192.0,12669.0
3083.0,14849.0,11766.0
2985.0,13792.0,10807.0
1072.0,10735.0,9663.0
1861.0,10467.0,8606.0
2617.0,10669.0,8052.0
2175.0,10097.0,7922.0
2511.0,10196.0,7685.0
1121.0,8505.0,7384.0
