,control_gene_expression,experiment_gene_expression,difference
Aldoc,6098.0,34438.0,28340.0
Oprk1,7392.0,34191.0,26799.0
Bcan,2346.0,16614.0,14268.0
Prox1,1965.0,15302.0,13337.0
Gabra3,1576.0,12047.0,10471.0
Tshz1,2435.0,10736.0,8301.0
Fst,1426.0,8984.0,7558.0
Col25a1,1826.0,9142.0,7316.0
Dscaml1,1960.0,8968.0,7008.0
Fgfr3,1177.0,7135.0,5958.0
