gene,logfoldchanges
Bdnf,3.0044236
Hoxc4,3.0004382
Rln3,2.7947824
Nr4a2,2.7694883
Trp53i11,2.713977
Pdgfrb,2.573381
Fam214a,2.4108415
Bcan,2.3295133
Adgrl2,2.310296
Fzd4,2.2427385
