gene,logfoldchanges
Scgn,24.730488
Oxtr,24.605307
Agrp,24.124928
Cdh9,22.294136
Hoxc4,4.0207086
Ephb2,3.4393172
Trp53i11,3.4066398
Fam214a,3.385237
Nxph4,3.1807096
Ccdc153,3.135817
