,gene,logfoldchanges,pvals,pvals_adj,-log10(pvals_adj)
0,Fam214a,3.385237,6.07774601453573e-76,3.038873007267865e-73,72.51728744845417
1,Trp53i11,3.4066398,2.8268154164523026e-64,7.067038541130756e-62,61.15076254019019
28,Hoxc4,4.0207086,3.288341904635526e-22,5.8720391154205816e-21,20.231211060116042
87,Nxph4,3.1807096,2.2607416164675695e-10,1.2845122820838464e-09,8.891261738796826
118,Ephb2,3.4393172,3.542471562447101e-08,1.4884334295996224e-07,6.827270584466407
184,Ccdc153,3.135817,0.0008272171480815807,0.002200045606599949,2.6575683162280663
197,Ptprk,3.0691078,0.0016897686459749653,0.004203404591977525,2.3763988056627645
208,Oxtr,24.605307,0.002893284589272588,0.0067917478621422256,2.1680184452777773
212,Scgn,24.730488,0.0032767032550123963,0.0075153744381018265,2.1240493767070987
