,control_gene_expression,experiment_gene_expression,difference
Dner,8166.5664,9201.752,1035.185546875
Gfap,8142.704,9034.098,891.3935546875
Ppp1r1b,5640.7095,4798.639,842.0703125
Necab2,3430.1096,2670.782,759.32763671875
Nr2f2,3713.1465,4394.44,681.29345703125
Hapln1,4582.659,3926.5413,656.117919921875
Penk,2651.2646,2003.4656,647.799072265625
2010300C02Rik,3241.6829,2599.428,642.2548828125
Bcl11b,2676.312,2114.9985,561.3134765625
Nrn1,2300.17,2847.2034,547.033447265625
