,control_gene_expression,experiment_gene_expression,difference
Ppp1r1b,10007.739,7213.04,2794.69921875
Neto2,6266.8306,3552.428,2714.402587890625
Pdyn,6404.0894,3693.26,2710.829345703125
Nrn1,1524.0664,4089.9807,2565.914306640625
Meis2,9596.696,7032.7183,2563.97802734375
Pde7b,8862.84,6448.0386,2414.80126953125
Bcl11b,7690.914,5393.213,2297.701171875
Mapk4,6771.7876,4495.5083,2276.279296875
Nrep,4029.68,1765.9875,2263.6923828125
Penk,5405.1973,3141.6929,2263.50439453125
