gene,logfoldchanges
Sema3d,2.5174546
Tmem163,2.0093215
Eya4,1.8175614
Cdh6,1.6831255
Gadd45a,1.679761
Bhlhe22,1.6533725
Nrn1,1.6225764
Thsd7a,1.326108
Dner,1.099844
Sema3e,0.96197003
