,control_gene_expression,experiment_gene_expression,difference
Ppp1r1b,9405.922,6223.105,3182.81689453125
Meis2,9923.922,7172.895,2751.02685546875
Penk,7387.5044,4652.05,2735.45458984375
Gad1,9097.684,6557.2075,2540.47607421875
Pde7b,7668.9644,5157.051,2511.91357421875
Bcl11b,6370.838,3996.3953,2374.442626953125
Wfs1,6099.9307,3813.611,2286.319580078125
Gad2,7597.0127,5439.7754,2157.2373046875
2010300C02Rik,7006.6025,4855.9126,2150.68994140625
Neto2,4507.2583,2390.809,2116.44921875
