gene,logfoldchanges
Nrn1,3.404107
Trbc2,1.5313659
Nr2f2,1.345592
Bhlhe22,1.3371136
Garnl3,1.2849984
Tanc1,1.2639059
Gfap,1.2231963
Ndst4,1.2184967
Aldh1a2,1.2120167
Sema3d,1.1838521
