gene,logfoldchanges
Sox10,0.71407384
Prox1,0.6073461
Nr2f2,0.5921347
Dner,0.58527267
Opalin,0.56761545
Nrn1,0.5428688
Gfap,0.52914995
Gadd45a,0.50889224
Sema3d,0.4840459
Bhlhe22,0.4596867
