,control_gene_expression,experiment_gene_expression,difference
Penk,8408.789,5868.7383,2540.05078125
Neto2,5648.574,3121.5273,2527.046875
Ppp1r1b,8550.372,6069.45,2480.921875
Meis2,8192.106,5927.52,2264.58642578125
Nrn1,1111.3142,3244.1047,2132.79052734375
Gad1,7946.4014,5831.721,2114.68017578125
Pde7b,7261.8003,5226.4565,2035.34375
Bcl11b,6538.082,4579.192,1958.89013671875
Mapk4,5628.433,3686.0562,1942.376953125
2010300C02Rik,6709.662,4834.009,1875.6533203125
